[INFO ] 2015-04-07 22:16:14,035 -- Training: ...sk/hou/workspace/mldata/ratings.csv, kFold: 5 [Parallel]
[DEBUG] 2015-04-07 22:16:18,035 -- Dataset: {Users, Items, Ratings} = {706, 8552, 100023}, Scale = {0.5, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5, 4.0, 4.5, 5.0}
[DEBUG] 2015-04-07 22:16:18,849 -- Fold [1]: training amount: 80018, test amount: 20005
[DEBUG] 2015-04-07 22:16:19,397 -- Fold [2]: training amount: 80018, test amount: 20005
[DEBUG] 2015-04-07 22:16:19,515 -- Fold [3]: training amount: 80019, test amount: 20004
[DEBUG] 2015-04-07 22:16:19,899 -- Fold [4]: training amount: 80018, test amount: 20005
[DEBUG] 2015-04-07 22:16:20,141 -- Fold [5]: training amount: 80019, test amount: 20004
[DEBUG] 2015-04-07 22:16:20,346 -- SVD++: 0.01,-1.0,0.01,0.35,0.35,18,100,true
[DEBUG] 2015-04-07 22:16:20,346 -- SVD++: 0.01,-1.0,0.01,0.35,0.35,18,100,true
[DEBUG] 2015-04-07 22:16:20,347 -- SVD++: 0.01,-1.0,0.01,0.35,0.35,18,100,true
[DEBUG] 2015-04-07 22:16:20,346 -- SVD++: 0.01,-1.0,0.01,0.35,0.35,18,100,true
[DEBUG] 2015-04-07 22:16:20,357 -- SVD++: 0.01,-1.0,0.01,0.35,0.35,18,100,true
[DEBUG] 2015-04-07 22:16:43,306 -- SVD++ fold [5] iter 1: errs = 38378.965, delta_errs = -38378.965, loss = 75917.47, delta_loss = -75917.47, learn_rate = 0.01
[DEBUG] 2015-04-07 22:16:45,170 -- SVD++ fold [2] iter 1: errs = 38553.266, delta_errs = -38553.266, loss = 75870.08, delta_loss = -75870.08, learn_rate = 0.01
[DEBUG] 2015-04-07 22:16:45,713 -- SVD++ fold [3] iter 1: errs = 38553.734, delta_errs = -38553.734, loss = 76019.9, delta_loss = -76019.9, learn_rate = 0.01
[DEBUG] 2015-04-07 22:16:45,980 -- SVD++ fold [1] iter 1: errs = 38635.805, delta_errs = -38635.805, loss = 76155.95, delta_loss = -76155.95, learn_rate = 0.01
[DEBUG] 2015-04-07 22:16:46,299 -- SVD++ fold [4] iter 1: errs = 38541.64, delta_errs = -38541.64, loss = 76069.195, delta_loss = -76069.195, learn_rate = 0.01
[DEBUG] 2015-04-07 22:17:00,668 -- SVD++ fold [5] iter 2: errs = 34877.83, delta_errs = 3501.1355, loss = 38131.066, delta_loss = 37786.402, learn_rate = 0.01
[DEBUG] 2015-04-07 22:17:03,037 -- SVD++ fold [2] iter 2: errs = 34972.156, delta_errs = 3581.1116, loss = 38291.367, delta_loss = 37578.715, learn_rate = 0.01
[DEBUG] 2015-04-07 22:17:04,228 -- SVD++ fold [1] iter 2: errs = 35009.188, delta_errs = 3626.6145, loss = 38281.27, delta_loss = 37874.684, learn_rate = 0.01
[DEBUG] 2015-04-07 22:17:04,740 -- SVD++ fold [4] iter 2: errs = 34941.9, delta_errs = 3599.7417, loss = 38260.855, delta_loss = 37808.34, learn_rate = 0.01
[DEBUG] 2015-04-07 22:17:04,956 -- SVD++ fold [3] iter 2: errs = 34980.61, delta_errs = 3573.1226, loss = 38260.004, delta_loss = 37759.895, learn_rate = 0.01
[DEBUG] 2015-04-07 22:17:20,182 -- SVD++ fold [4] iter 3: errs = 33620.34, delta_errs = 1321.5609, loss = 35772.07, delta_loss = 2488.7837, learn_rate = 0.0105
[DEBUG] 2015-04-07 22:17:20,204 -- SVD++ fold [5] iter 3: errs = 33581.39, delta_errs = 1296.4409, loss = 35696.234, delta_loss = 2434.8296, learn_rate = 0.0105
[DEBUG] 2015-04-07 22:17:20,611 -- SVD++ fold [2] iter 3: errs = 33624.32, delta_errs = 1347.8353, loss = 35775.6, delta_loss = 2515.7676, learn_rate = 0.0105
[DEBUG] 2015-04-07 22:17:22,346 -- SVD++ fold [1] iter 3: errs = 33663.63, delta_errs = 1345.5587, loss = 35794.73, delta_loss = 2486.5378, learn_rate = 0.0105
[DEBUG] 2015-04-07 22:17:22,364 -- SVD++ fold [3] iter 3: errs = 33637.59, delta_errs = 1343.0206, loss = 35772.484, delta_loss = 2487.521, learn_rate = 0.0105
[DEBUG] 2015-04-07 22:17:38,829 -- SVD++ fold [4] iter 4: errs = 32831.52, delta_errs = 788.81946, loss = 34502.664, delta_loss = 1269.4066, learn_rate = 0.011024999
